College,Undergraduates,Graduates
All Souls College,No,No
Balliol College,Yes,Yes
Brasenose College,Yes,Yes
Christ Chuch,Yes,Yes
Corpus Christi College,Yes,Yes
Exeter College,Yes,Yes
Green Templeton College,No,Yes
Harris Manchester College,Yes,Yes
Hertford College,Yes,Yes
Jesus College,Yes,Yes
Keble College,Yes,Yes
Kellogg College,No,Yes
Lady Margaret Hall,Yes,Yes
Linacre College,No,Yes
Lincoln College,Yes,Yes
Magdelen College,Yes,Yes
Mansfield College,Yes,Yes
Merton College,Yes,Yes
New College,Yes,Yes
Nuffield College,No,Yes
Oriel College,Yes,Yes
Pembroke College,Yes,Yes
The Queen's College,Yes,Yes
Reuben College,No,Yes
St Anne's College,Yes,Yes
St Anthony's College,No,Yes
St Catherine's College,Yes,Yes
St Cross College,No,Yes
St Edmund Hall,Yes,Yes
St Hilda's College,Yes,Yes
St Hugh's College,Yes,Yes
St John's College,Yes,Yes
St Peter's College,Yes,Yes
Somerville College,Yes,Yes
Trinity College,Yes,Yes
University College,Yes,Yes
Wadham College,Yes,Yes
Wolfson College,No,Yes
Worcester College,Yes,Yes
Wycliffe Hall,Yes,Yes
